Фрэнсис Скотт Фицджеральд;http://inostrankabooks.ru/img/book/w240/978-5-389-05827-9.jpg;Персона (Издательство «КоЛибри»);Эндрю  Тернбулл ;Купить электронную книгу:&nbsp,&nbsp, Фрэнсис Скотт Фицджеральд прожил яркую жизнь, познал ранний успех и горечь поражений. Страстная любовь к жене Зельде сделала его невероятно счастливым — и принесла ему величайшие страдания. Он был необычайно обаятельным и красивым человеком, отличался добротой и благородством — и в то же время современников поражали его дикие выходки. В романах и рассказах Скотта Фицджеральда легко различим сам автор: в них отразились все перипетии его жизни, бурные отношения с Зельдой, тончайшие порывы его артистической души. Он же стал прототипом главного героя самого пронзительного и знаменитого своего творения — романа «Великий Гэтсби», с момента создания экранизированного уже в пятый раз. Фицджеральду суждено было пережить собственный закат, разочарование и крушение самых сокровенных своих надежд, но его произведения по-прежнему волнуют сердца читателей, а имя навсегда вошло в золотой фонд мировой литературы. Эндрю Тернбулл познакомился с Фицджеральдом, когда тот арендовал дом в усадьбе его родителей в Балтиморе. Несмотря на разницу в возрасте, они стали близкими друзьями. Тернбулл побеседовал с огромным количеством знакомых Фицджеральда, дополнив собранный материал своими личными впечатлениями. Так была созданауникальная биография, рисующая противоречивый и удивительно притягательный образ великого писателя.;http://inostrankabooks.ru/ru/book/17981/
Изречения и размышления;http://inostrankabooks.ru/img/book/w240/978-5-389-08471-1.jpg;Персона (Издательство «КоЛибри»);Уинстон Черчилль; В эту книгу вошли не только широко известные изречения Уинстона Черчилля, но и его небольшие философские притчи, а также полная сарказма полемика с политическими деятелями его времени. Большой интерес для читателей представляет раздел, где собраны афоризмы, приписываемые Черчиллю, — как, например, переходящая из уст в уста знаменитая фраза «…демократия — худшая форма правления, если не считать всех остальных, к которым до сих пор прибегало человечество».;http://inostrankabooks.ru/ru/book/23044/
100 лет моды для мужчин;http://inostrankabooks.ru/img/book/w240/978-5-389-03564-5.jpg;Век моды (Издательство «КоЛибри»);Келли Блэкмен; «Мужчина стоит того же, что и его галстук».Оноре де Бальзак До начала ХХ века мода для мужчин влачила тихое и скучноватое существование: покачивала цилиндрами, выставляла жилеты и умирала от зависти к гусарским ментикам. ХХ век ворвался в мужскую моду, сияя красками, оттенками и разнообразием стилей, почти сразу смытыx хаки Первой мировой.Потом появилось всё: смокинги и костюмы с Сэвил-Роу, чарльстон и борсалино... и всё снова унесла война, ещё более чудовищная и безжалостная. Мужчины выжили, и мода помогала им ощутить радость свободы и радость жизни. ХХ век предстаёт перед нами во всей красе – невероятное разнообразие стилей, красок, дизайна, творения Пьера Кардена, Джорджио Армани и Ральфа Лорена соседствуют с уличной модой 60-х, панками и хиппи. Кадры и афиши фильмов, ставших культовыми, портреты мо дельеров и дизайнеров и даже заметки из советских газет – всё это составляющие образа ХХ века – века моды для мужчин. Все они перед вами в этой удивительной книге.;http://inostrankabooks.ru/ru/book/17480/
Дорогой Пончик. Дорогой Володя. Переписка 1940-1971;http://inostrankabooks.ru/img/book/w240/978-5-389-05485-1.jpg;Персона (Издательство «КоЛибри»);Эдмунд Уилсон; Эта книга вместила в себя свыше трехсот писем и более тридцати лет личной дружбы и профессионального общения русского писателя Владимира Набокова (как раз в эти годы становившегося писателем американским) и американского критика, историка, прозаика, поэта и драматурга Эдмунда Уилсона. В истории дружбы Набокова и Уилсона чередовались эмоциональные приливы и отливы, взаимный интерес и обоюдное охлаждение, радостные открытия общих литературных пристрастий - и куда более частое несогласие во взглядах на литературу, искусство, историю и политику, вызывавшее порой ожесточенные, не утихавшие годами споры. Темпераментная полемика о стихосложении и принципах художественного перевода, рождение и постепенное прорастание замыслов знаменитых в будущем книг, тернии преподавательского опыта Набокова, перипетии отношений авторов с американскими журналами и издателями, колоритные портреты русских эмигрантов, энтомологические экскурсы, наконец, повседневные житейские заботы, смена адресов и извилистость маршрутов, - из этой длинной череды событий и впечатлений выстраиваются пестрый интонационный рисунок и прихотливый интеллектуальный сюжет книги. Яркий эпистолярный роман двух талантливых, остроумных, творчески увлеченных и творчески самолюбивых, вызывающе независимых личностей  - и стоящих за ними глубоко различных национальных культур - впервые приходит к русскому читателю в полном виде.;http://inostrankabooks.ru/ru/book/18049/
Волчий паспорт;http://inostrankabooks.ru/img/book/w240/978-5-389-08901-3.jpg;Персона (Издательство «КоЛибри»);Евгений Евтушенко;Купить электронную книгу:&nbsp,&nbsp, Евтушенко исключили из школы с безнадежной характеристикой – «волчьим паспортом». Исключили за поступок, которого он не совершал. С таким же «волчьим паспортом» его вычеркнули и из всех «тусовок»:  «…Я не принадлежу ни к одной партии, ни к одной мафии, ни к нашему выпендрежному бомонду…»  Однако «волчий паспорт» не помешал мальчику со станции Зима превратиться во всемирно известного поэта, став голосом целой эпохи.  Эта книга – автобиография, написанная на излете века. Ее автор обескураживающе правдив. По отношению к себе и по отношению к близким и не очень близким людям, с которыми его сталкивала судьба, забрасывая в разные уголки земного шара. Среди этих людей – художников, музыкантов, поэтов и писателей, режиссеров, политиков,  революционеров –  имена тех, кто навсегда останется в истории двадцатого столетия: Дмитрий Шостакович, Борис Пастернак, Иосиф Бродский, Пабло Пикассо, Сальвадор Дали, Паоло Пазолини, Че Гевара…;http://inostrankabooks.ru/ru/book/23254/
Я - Малала. Уникальная история мужества, которая потрясла весь мир;http://inostrankabooks.ru/img/book/w240/978-5-389-08447-6.jpg;Персона (Издательство «КоЛибри»);Малала Юсуфзай;Купить электронную книгу:&nbsp,&nbsp, Малала Юсуфзай была дважды номинирована на Нобелевскую премию мира. Журнал «Таймс» включил ее в список 16 самых влиятельных подростков 2013 года.Журнал «Пипл» назвал Малалу Героиней года в 2013 году. Она стала лауреатом Национальной книжной премии Великобритании 2013 года в категории «Нон-фикшн».В день, когда ей исполнилось 16 лет, она произнесла речь в Организации Объединенных Наций и ее стоя встречали и провожали аплодисментами.Малала Юсуфзай — школьница из долины Сват в Пакистане, бросившая вызов движению Талибан и приговоренная талибами к смерти, — чудом выжила после покушения.«Я — Малала» — захватывающая история девочки, противостоящей международному терроризму. Эта книга заставит вас поверить, что даже один человек способен изменить мир…Впервые на русском языке!;http://inostrankabooks.ru/ru/book/22687/
Юная Невеста;http://inostrankabooks.ru/img/book/w240/978-5-389-11031-1.jpg;Большой роман (Издательство «Иностранка»);Алессандро Барикко;Купить электронную книгу:&nbsp,&nbsp, В новом романе Алессандро Барикко «Юная Невеста», как и в его знаменитом  «1900-м»,  царит атмосфера начала ХХ века. Мы попадаем в дом, где повседневную  жизнь определяют жесткие правила: а за персонажами строго закреплены роли:  Отец, пользующийся непререкаемым авторитетом, взбалмошная красавица Мать, загадочная Дочь, Дядя, который лишь на краткое время пробуждается от беспробудного сна. Каждое утро из Англии приходит телеграмма от Сына. Текст ее неизменен: «Все хорошо». Но Юная Невеста, прибывшая из Аргентины, чтобы выйти замуж за Сына, поневоле нарушает сложившиеся ритуалы, ведь ей неведомо, в какую игру вовлечено Семейство и что поставлено на кон.;http://inostrankabooks.ru/ru/book/25288/
Зеркало моды;http://inostrankabooks.ru/img/book/w240/978-5-389-08448-3.jpg;Век моды (Издательство «КоЛибри»);Сесил Битон;Купить электронную книгу:&nbsp,&nbsp, Сесил Битон – культовый английский фотограф, автор портретов монархов, звезд экрана и сцены. Он превосходно рисовал, создавал костюмы и декорации к фильмам и театральным постановкам, много путешествовал, снимал страны и людей, писал статьи и мемуары. Книга «Зеркало моды» имела огромный успех, ее не раз переиздавали и переводили на другие языки. Она поистине уникальный путеводитель по миру моды и стиля первой половины ХХ века.;http://inostrankabooks.ru/ru/book/24546/
50 шляп, которые изменили мир;http://inostrankabooks.ru/img/book/w240/978-5-389-06380-8.jpg;Век моды (Издательство «КоЛибри»);Роберт Андерсон; Они согревают и украшают, помогают создать нужное впечатление и придают шарм, поднимают самооценку… Цилиндр, шляпа с перьями, викторианский чепец, шляпка-таблетка, двууголка, берет, фуражка и шлем – каждый из этих головных уборов по-своему прекрасен, каждый повлиял на историю моды в целом и конкретно на то, что носим сегодня мы с вами. Книга знакомит с самыми выдающимися образцами шляп и других головных уборов, создававшимися на протяжении веков. Великолепные фотографии сопровождаются информацией, которая окажется полезной тем, кто интересуется вопросами стиля и красоты и постоянно совершенствует свой имидж.;http://inostrankabooks.ru/ru/book/18819/
Мысли о жизни. Письма о добром;http://inostrankabooks.ru/img/book/w240/978-5-389-06680-9.jpg;Персона (Издательство «КоЛибри»);Дмитрий Лихачев; Имя академика Дмитрия Сергеевича Лихачева, одного из крупнейших ученых-гуманитариев, давно стало символом научного и духовного просвещения, мудрости и порядочности. Это имя известно на всех континентах, многие университеты мира присуждали Лихачеву звание почетного доктора. Принц Уэльский Чарльз, вспоминая свои встречи со знаменитым академиком, писал, что свою любовь к России он во многом вынес из разговоров с Лихачевым, русским интеллигентом, которого ему привычнее называть «духовным аристократом».;http://inostrankabooks.ru/ru/book/20219/
100 лет Моды;http://inostrankabooks.ru/img/book/w240/978-5-389-05801-9.jpg;Век моды (Издательство «КоЛибри»);Келли Блэкмен; История человечества – это история следования моде. Но, пожалуй, ни один век в этом отношении не был так невероятно разнообразен, как век ХХ. В нём успели всё – отказаться и вновь ввести корсеты, переодеть женщин в брюки, несколько раз поменять длину юбок и обуться в туфли на шпильках. Две страшные войны отбросили тень и на моду, до  неузнаваемости изменив стиль. От платьев, перекроенных на кухне, до творений haute couture, от нормирования и карточек до New Look Кристиана Диора, от моды для тинейджеров до массового производства: 400 фотографий и иллюстраций, часть которых публикуется впервые, затронут лучшие струны вашей души, пробудив нежность, восхищение и умение сопереживать.;http://inostrankabooks.ru/ru/book/18109/
